Fecha,Demanda DS,Prioritaria,Industria,Usinas,Exportaciones,,Sur,NBA I,NBA II,TGS,,Norte,Nqn,TGN,,GPM,BOLIVIA,ESCOBAR,ENARSA,,Tucumán Min,Tucumán Max,Tucumán Promedio,BA Min,BA Max,BA Promedio,Esquel Min,Esquel Max,Esquel Promedio,,Linepack TGS,Var. TGS,Lim Inf. TGS,Lim Sup. TGS,,Linepack TGN,Var. TGN,Lim Inf. TGN,Lim Sup. TGN,,Tramo Final TGS,,,Tramo Final TGN,,,,,,,,,,,,,,,,,,,Fecha,GAS,GASOIL,FUELOIL,CARBON
2026-06-24,183.8,86.7,27.1,31.0,7.3,,24.4,10.0,41.3,75.7,,3.6,38.0,41.6,,21.6,1.0,19.0,21.6,,4.7,17.9,11.3,4.0,12.0,8.5,2.2,8.4,5.3,,227.74,-3.29,215.0,235.0,,127.86,-3.67,110.0,142.0,,84.81,,,13.95,,,,,,,,,,,,,,,,,,,2026-06-24,37.03,15572.0,2181.8,0.0
2026-06-25,178.9,84.2,28.2,31.1,7.1,,24.7,9.9,41.5,76.1,,3.5,38.1,41.6,,22.1,1.0,20.1,22.1,,7.9,19.1,13.5,8.0,13.0,9.1,1.6,8.3,5.0,,226.8,-0.95,215.0,235.0,,129.1,1.24,110.0,142.0,,81.91,,,15.61,,,,,,,,,,,,,,,,,,,2026-06-25,38.28,14004.4,2044.8,0.0
2026-06-26,155.4,82.6,27.4,29.1,6.6,,,,,98.2,,,,40.1,,,,,,,5.2,18.8,12.0,3.0,14.0,8.5,1.5,6.7,4.1,,226.39,-0.4,215.0,235.0,,129.78,0.68,110.0,142.0,,,,,,,,,,,,,,,,,,,,,,,,2026-06-26,,,,
2026-06-27,151.1,76.9,26.8,30.9,7.0,,,,,97.7,,,,40.8,,,,,,,6.3,18.8,12.6,7.0,16.0,11.5,-0.0,6.7,3.4,,229.98,3.58,215.0,235.0,,132.56,2.78,110.0,142.0,,,,,,,,,,,,,,,,,,,,,,,,2026-06-27,,,,
2026-06-28,167.2,74.9,27.6,28.2,7.4,,24.6,10.1,40.3,75.0,,2.8,37.2,39.9,,22.0,0.5,19.0,22.0,,9.4,19.1,14.2,8.0,13.0,13.0,1.5,6.1,3.8,,236.38,6.4,215.0,235.0,,132.97,0.41,110.0,142.0,,90.8,,,16.05,,,,,,,,,,,,,,,,,,,2026-06-28,,,,
2026-06-29,176.7,80.8,28.3,31.6,7.1,,24.8,10.2,41.8,76.9,,2.6,38.4,41.0,,20.9,0.0,19.1,20.9,,6.0,14.8,10.4,5.0,14.0,9.9,-1.6,6.7,2.5,,236.23,-0.15,215.0,235.0,,132.79,-0.18,110.0,142.0,,89.64,,,15.89,,,,,,,,,,,,,,,,,,,2026-06-29,,,,
2026-06-30,175.3,83.5,27.8,30.3,6.6,,24.7,10.4,42.9,77.9,,2.3,38.6,41.0,,22.0,0.0,18.0,22.0,,8.8,14.8,11.8,3.0,14.0,9.5,-7.7,2.0,-2.9,,236.72,0.49,215.0,235.0,,134.11,1.32,110.0,142.0,,88.87,,,15.71,,,,,,,,,,,,,,,,,,,2026-06-30,,,,
2026-07-01,181.9,88.7,27.2,30.5,6.4,,23.2,11.2,42.3,76.7,,3.2,38.0,41.2,,21.8,0.8,17.0,21.8,,7.4,13.1,10.2,4.0,13.0,9.7,-12.5,-0.6,-6.5,,229.92,-6.8,215.0,235.0,,133.43,-0.68,110.0,142.0,,85.26,,,15.36,,,,,,,,,,,,,,,,,,,2026-07-01,,,,
2026-07-02,188.8,94.8,27.9,32.4,5.6,,24.4,10.6,40.8,75.7,,4.2,36.5,40.7,,22.7,1.9,20.0,22.7,,6.5,10.0,8.2,1.0,9.0,6.1,-9.5,2.9,-3.3,,223.0,-6.92,215.0,235.0,,128.87,-4.56,110.0,142.0,,81.6,,,14.68,,,,,,,,,,,,,,,,,,,2026-07-02,,,,
2026-07-03,166.3,94.1,26.1,30.6,6.0,,,,,98.8,,,,39.4,,,,,,,5.9,9.3,7.6,0.0,9.1,4.5,-7.5,1.9,-2.8,,221.08,-1.92,215.0,235.0,,125.07,-3.8,110.0,142.0,,,,,,,,,,,,,,,,,,,,,,,,2026-07-03,,,,
