fecha,demanda_total,prioritaria,industria,usinas,exportaciones,iny_tgs,iny_tgn,iny_enarsa,iny_gpm,iny_bolivia,iny_escobar,iny_total,linepack_tgs,var_linepack_tgs,lim_inf_tgs,lim_sup_tgs,linepack_tgn,var_linepack_tgn,lim_inf_tgn,lim_sup_tgn,linepack_total,var_linepack_total,lim_inf_total,lim_sup_total,tramo_final_tgs,tf_lim_inf_tgs,tf_lim_sup_tgs,tramo_final_tgn,tf_lim_inf_tgn,tf_lim_sup_tgn,temp_min_ba,temp_max_ba,temp_prom_ba,temp_min_esquel,temp_max_esquel,temp_prom_esquel,cammesa_gas,cammesa_gasoil,cammesa_fueloil,cammesa_carbon,cammesa_total,estado_tgn,cammesa_gas_est,cammesa_gasoil_est,cammesa_fueloil_est,cammesa_carbon_est
2024-04-20,109.1,30.1,35.1,25.9,8.5,,,,,,,,,,,,,,,,336.0,,,,,,,,,,19.0,27.0,23.0,,,,,,,,,,,,,
2024-04-21,110.9,31.1,34.8,27.8,8.5,,,,,,,,,,,,,,,,344.2,,,,,,,,,,18.0,23.0,20.5,,,,,,,,,,,,,
2024-04-22,125.0,35.9,35.9,37.7,6.5,,,,,,,,,,,,,,,,348.5,,,,,,,,,,17.0,20.0,18.5,,,,,,,,,,,,,
2024-04-23,123.1,35.9,36.1,35.4,6.5,,,,,,,,,,,,,,,,341.9,,,,,,,,,,17.0,22.0,19.5,,,,,,,,,,,,,
2024-04-24,129.5,38.8,36.3,36.1,8.8,,,,,,,,,,,,,,,,337.4,,,,,,,,,,9.0,19.0,14.0,,,,,,,,,,,,,
2024-04-25,120.2,36.6,35.9,29.6,8.5,,,,,,,,,,,,,,,,331.7,,,,,,,,,,14.0,20.0,17.0,,,,,,,,,,,,,
2024-04-26,120.2,38.0,35.1,28.7,8.5,,,,,,,,,,,,,,,,328.4,,,,,,,,,,16.0,21.0,18.5,,,,,,,,,,,,,
2024-04-27,115.6,35.9,36.2,25.0,7.699999999999999,,,,,,,,,,,,,,,,327.7,,,,,,,,,,12.0,18.0,15.0,,,,,,,,,,,,,
2024-04-28,107.4,32.7,36.0,21.2,7.5,,,,,,,,,,,,,,,,331.2,,,,,,,,,,7.0,20.0,13.5,,,,,,,,,,,,,
2024-04-29,122.2,38.2,36.3,30.8,7.800000000000001,,,,,,,,,,,,,,,,338.0,,,,,,,,,,15.0,19.0,17.0,,,,,,,,,,,,,
2024-04-30,130.6,43.3,37.4,31.4,9.2,,,,,,,,,,,,,,,,337.7,,,,,,,,,,17.0,21.0,19.0,,,,,,,,,,,,,
2024-05-01,114.5,42.4,34.7,22.8,6.1000000000000005,,,,,,,,,,,,,,,,339.8,,,,,,,,,,14.0,19.0,16.5,,,,,,,,,,,,,
2024-05-02,137.3,55.1,34.3,32.4,6.2,,,,,,,,,,,,,,,,352.0,,,,,,,,,,9.0,15.0,12.0,,,,,,,,,,,,,
2024-05-03,133.2,54.4,34.8,28.2,6.2,,,,,,,,,,,,,,,,346.8,,,,,,,,,,6.0,16.0,11.0,,,,,,,,,,,,,
2024-05-04,124.2,48.3,35.0,25.7,6.2,,,,,,,,,,,,,,,,341.7,,,,,,,,,,8.0,19.0,13.5,,,,,,,,,,,,,
2024-05-05,118.3,43.3,34.6,26.4,5.7,,,,,,,,,,,,,,,,344.9,,,,,,,,,,16.0,20.0,18.0,,,,,,,,,,,,,
2024-05-06,126.2,44.8,35.5,30.5,6.2,,,,,,,,,,,,,,,,354.7,,,,,,,,,,18.0,20.0,19.0,,,,,,,,,,,,,
2024-05-07,128.1,44.5,34.2,33.8,6.4,,,,,,,,,,,,,,,,358.4,,,,,,,,,,17.0,20.0,18.5,,,,,,,,,,,,,
2024-05-08,135.7,52.7,34.0,33.2,6.4,,,,,,,,,,,,,,,,358.4,,,,,,,,,,12.0,18.0,15.0,,,,,,,,,,,,,
2024-05-09,140.5,55.7,32.7,35.4,6.8,,,,,,,,,,,,,,,,357.2,,,,,,,,,,7.0,16.0,11.5,,,,,,,,,,,,,
2024-05-10,146.5,58.4,33.6,38.4,6.2,,,,,,,,,,,,,,,,354.6,,,,,,,,,,10.0,17.0,13.5,,,,,,,,,,,,,
2024-05-11,137.3,54.9,32.4,34.5,5.7,,,,,,,,,,,,,,,,349.8,,,,,,,,,,9.0,18.0,13.5,,,,,,,,,,,,,
2024-05-12,135.8,55.0,32.0,34.2,5.7,,,,,,,,,,,,,,,,343.2,,,,,,,,,,9.0,14.0,11.5,,,,,,,,,,,,,
2024-05-13,148.3,63.4,33.8,35.4,5.9,,,,,,,,,,,,,,,,331.9,,,,,,,,,,5.0,14.0,9.5,,,,,,,,,,,,,
2024-05-14,142.0,67.6,33.2,25.8,6.0,,,,,,,,,,,,,,,,322.2,,,,,,,,,,5.0,14.0,9.5,,,,,,,,,,,,,
2024-05-15,145.5,71.8,33.1,24.5,6.3,,,,,,,,,,,,,,,,315.1,,,,,,,,,,5.0,16.0,10.5,,,,,,,,,,,,,
2024-05-16,142.5,70.4,33.1,23.0,6.3,,,,,,,,,,,,,,,,311.7,,,,,,,,,,8.0,17.0,12.5,,,,,,,,,,,,,
2024-05-17,140.6,69.2,32.3,22.8,6.2,,,,,,,,,,,,,,,,310.2,,,,,,,,,,7.0,16.0,11.5,,,,,,,,,,,,,
2024-05-18,134.2,64.8,32.2,22.2,6.2,,,,,,,,,,,,,,,,308.2,,,,,,,,,,6.0,14.0,10.0,,,,,,,,,,,,,
2024-05-19,132.8,62.4,32.1,24.2,6.2,,,,,,,,,,,,,,,,311.4,,,,,,,,,,4.0,14.0,9.0,,,,,,,,,,,,,
2024-05-20,141.9,68.3,33.0,25.4,6.4,,,,,,,,,,,,,,,,319.9,,,,,,,,,,6.0,16.0,11.0,,,,,,,,,,,,,
2024-05-21,141.6,67.6,32.7,25.1,6.4,,,,,,,,,,,,,,,,319.0,,,,,,,,,,11.0,16.0,13.5,,,,,,,,,,,,,
2024-05-22,141.9,67.7,33.3,24.7,6.4,,,,,,,,,,,,,,,,318.4,,,,,,,,,,11.0,16.0,13.5,,,,,,,,,,,,,
2024-05-23,138.2,70.3,27.4,24.7,5.5,,,,,,,,,,,,,,,,316.1,,,,,,,,,,11.0,15.0,13.0,,,,,,,,,,,,,
2024-05-24,146.4,75.9,29.8,24.8,5.5,,,,,,,,,,,,,,,,312.0,,,,,,,,,,7.0,12.0,9.5,,,,,,,,,,,,,
2024-05-25,145.0,77.6,26.9,24.7,5.5,,,,,,,,,,,,,,,,309.2,,,,,,,,,,2.0,11.0,6.5,,,,,,,,,,,,,
2024-05-26,141.1,74.9,27.1,24.3,5.5,,,,,,,,,,,,,,,,314.2,,,,,,,,,,4.0,11.0,7.5,,,,,,,,,,,,,
2024-05-27,148.7,80.1,27.9,25.1,5.5,,,,,,,,,,,,,,,,316.7,,,,,,,,,,7.0,13.0,10.0,,,,,,,,,,,,,
2024-05-28,141.4,76.9,25.4,23.4,5.5,,,,,,,,,,,,,,,,314.3,,,,,,,,,,8.0,15.0,11.5,,,,,,,,,,,,,
2024-05-29,142.3,73.7,27.8,25.0,5.5,,,,,,,,,,,,,,,,311.6,,,,,,,,,,11.0,17.0,14.0,,,,,,,,,,,,,
2024-05-30,147.8,73.4,32.3,25.9,5.5,,,,,,,,,,,,,,,,329.8,,,,,,,,,,12.0,17.0,14.5,,,,,,,,,,,,,
2024-05-31,152.4,68.8,32.8,33.9,6.4,,,,,,,,,,,,,,,,335.2,,,,,,,,,,11.0,17.0,14.0,,,,,,,,,,,,,
2024-06-01,137.5,58.8,30.1,31.9,6.7,,,,,,,,,,,,,,,,335.9,,,,,,,,,,13.0,20.0,16.5,,,,,,,,,,,,,
2024-06-02,135.7,61.2,29.9,29.1,6.4,,,,,,,,,,,,,,,,349.3,,,,,,,,,,10.0,13.0,11.5,,,,,,,,,,,,,
2024-06-03,162.1,75.8,31.4,38.5,6.4,,,,,,,,,,,,,,,,348.8,,,,,,,,,,5.0,13.0,9.0,,,,,,,,,,,,,
2024-06-04,157.7,71.3,32.6,36.8,7.1000000000000005,,,,,,,,,,,,,,,,333.2,,,,,,,,,,9.0,14.0,11.5,,,,,,,,,,,,,
2024-06-05,155.2,68.0,32.5,37.8,6.9,,,,,,,,,,,,,,,,320.2,,,,,,,,,,10.0,16.0,13.0,,,,,,,,,,,,,
2024-06-06,137.8,63.2,32.0,25.4,6.9,,,,,,,,,,,,,,,,318.6,,,,,,,,,,13.0,20.0,16.5,,,,,,,,,,,,,
2024-06-07,139.3,57.2,33.6,30.8,7.4,,,,,,,,,,,,,,,,326.1,,,,,,,,,,14.0,20.0,17.0,,,,,,,,,,,,,
2024-06-08,131.3,48.0,31.9,33.1,7.300000000000001,,,,,,,,,,,,,,,,336.0,,,,,,,,,,16.0,23.0,19.5,,,,,,,,,,,,,
2024-06-09,120.8,42.8,31.6,29.4,6.9,,,,,,,,,,,,,,,,348.5,,,,,,,,,,18.0,25.0,21.5,,,,,,,,,,,,,
2024-06-10,145.1,54.9,33.2,40.1,6.9,,,,,,,,,,,,,,,,364.1,,,,,,,,,,14.0,20.0,17.0,,,,,,,,,,,,,
2024-06-11,141.5,52.3,34.2,38.1,6.9,,,,,,,,,,,,,,,,362.4,,,,,,,,,,12.0,17.0,14.5,,,,,,,,,,,,,
2024-06-12,137.5,49.5,34.2,37.2,7.0,,,,,,,,,,,,,,,,354.6,,,,,,,,,,15.0,22.0,18.5,,,,,,,,,,,,,
2024-06-13,126.7,42.4,33.7,35.3,5.6000000000000005,,,,,,,,,,,,,,,,355.1,,,,,,,,,,21.0,27.0,24.0,,,,,,,,,,,,,
2024-06-14,137.1,49.4,34.7,37.2,5.6000000000000005,,,,,,,,,,,,,,,,359.5,,,,,,,,,,16.0,22.0,19.0,,,,,,,,,,,,,
2024-06-15,129.5,46.6,33.6,35.1,5.300000000000001,,,,,,,,,,,,,,,,353.4,,,,,,,,,,11.0,20.0,15.5,,,,,,,,,,,,,
2024-06-16,132.0,48.9,33.4,36.3,5.300000000000001,,,,,,,,,,,,,,,,347.7,,,,,,,,,,12.0,18.0,15.0,,,,,,,,,,,,,
2024-06-17,136.1,51.9,33.1,35.9,5.6000000000000005,,,,,,,,,,,,,,,,343.9,,,,,,,,,,11.0,18.0,14.5,,,,,,,,,,,,,
2024-06-18,148.1,55.7,33.1,43.3,5.9,,,,,,,,,,,,,,,,341.4,,,,,,,,,,15.0,17.0,16.0,,,,,,,,,,,,,
2024-06-19,148.0,58.2,33.2,39.9,6.800000000000001,,,,,,,,,,,,,,,,337.6,,,,,,,,,,13.0,18.0,15.5,,,,,,,,,,,,,
2024-06-20,143.9,58.9,32.6,35.9,6.7,,,,,,,,,,,,,,,,333.4,,,,,,,,,,10.0,15.0,12.5,,,,,,,,,,,,,
2024-06-21,140.8,53.8,32.5,37.8,6.6,,,,,,,,,,,,,,,,326.6,,,,,,,,,,13.0,18.0,15.5,,,,,,,,,,,,,
2024-06-22,135.3,52.8,32.2,34.3,6.3,,,,,,,,,,,,,,,,332.7,,,,,,,,,,16.0,18.0,17.0,,,,,,,,,,,,,
2024-06-23,137.0,56.9,32.0,32.7,6.3,,,,,,,,,,,,,,,,343.0,,,,,,,,,,11.0,16.0,13.5,,,,,,,,,,,,,
2024-06-24,160.5,74.2,33.1,37.1,6.3,,,,,,,,,,,,,,,,344.2,,,,,,,,,,6.0,13.0,9.5,,,,,,,,,,,,,
2024-06-25,149.5,78.4,31.9,22.8,6.4,,,,,,,,,,,,,,,,335.3,,,,,,,,,,5.0,12.0,8.5,,,,,,,,,,,,,
2024-06-26,148.9,77.3,32.7,22.9,6.0,,,,,,,,,,,,,,,,330.1,,,,,,,,,,6.0,14.0,10.0,,,,,,,,,,,,,
2024-06-27,144.6,76.3,32.7,20.7,4.8999999999999995,,,,,,,,,,,,,,,,327.0,,,,,,,,,,8.0,17.0,12.5,,,,,,,,,,,,,
2024-06-28,145.4,80.0,30.0,21.2,4.3,,,,,,,,,,,,,,,,335.2,,,,,,,,,,7.0,12.0,9.5,,,,,,,,,,,,,
2024-06-29,142.3,80.8,27.2,21.4,4.0,,,,,,,,,,,,,,,,342.7,,,,,,,,,,2.0,10.0,6.0,,,,,,,,,,,,,
2024-06-30,136.5,74.8,27.5,21.4,4.3,,,,,,,,,,,,,,,,345.6,,,,,,,,,,2.0,14.0,8.0,,,,,,,,,,,,,
2024-07-01,147.9,83.0,28.7,22.2,4.3,,,,,,,,,,,,,,,,356.2,,,,,,,,,,7.0,17.0,12.0,,,,,,,,,,,,,
2024-07-02,141.4,76.1,29.5,24.9,1.2,,,,,,,,,,,,,,,,364.4,,,,,,,,,,7.0,18.0,12.5,,,,,,,,,,,,,
2024-07-03,144.0,77.7,28.9,26.8,1.0,,,,,,,,,,,,,,,,366.0,,,,,,,,,,7.0,13.0,10.0,,,,,,,,,,,,,
2024-07-04,143.9,77.9,29.9,23.9,2.3,,,,,,,,,,,,,,,,355.2,,,,,,,,,,3.0,13.0,8.0,,,,,,,,,,,,,
2024-07-05,151.9,85.0,29.3,23.8,3.4,,,,,,,,,,,,,,,,350.6,,,,,,,,,,3.0,12.0,7.5,,,,,,,,,,,,,
2024-07-06,149.6,86.6,27.9,21.3,4.4,,,,,,,,,,,,,,,,343.5,,,,,,,,,,0.0,10.0,5.0,,,,,,,,,,,,,
2024-07-07,141.7,79.8,27.6,20.5,4.4,,,,,,,,,,,,,,,,342.4,,,,,,,,,,5.0,11.0,8.0,,,,,,,,,,,,,
2024-07-08,158.2,90.9,28.9,23.2,5.3,,,,,,,,,,,,,,,,349.7,,,,,,,,,,2.0,8.0,5.0,,,,,,,,,,,,,
2024-07-09,150.9,86.8,29.4,21.2,4.1,,,,,,,,,,,,,,,,342.5,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-10,153.6,87.1,29.9,22.6,4.3,,,,,,,,,,,,,,,,337.1,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-11,157.5,89.5,30.5,22.1,5.5,,,,,,,,,,,,,,,,325.6,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-12,152.7,90.0,28.0,19.3,5.0,,,,,,,,,,,,,,,,321.7,,,,,,,,,,1.0,13.0,7.0,,,,,,,,,,,,,
2024-07-13,143.3,84.7,25.1,18.9,5.0,,,,,,,,,,,,,,,,322.4,,,,,,,,,,0.0,14.0,7.0,,,,,,,,,,,,,
2024-07-14,136.5,80.1,25.6,17.0,5.0,,,,,,,,,,,,,,,,327.5,,,,,,,,,,1.0,14.0,7.5,,,,,,,,,,,,,
