fecha,temp_prom,temp_max,temp_min,prioritaria_est,usinas_est,industria_est,gnc_est,combustible_est,exportaciones_est,demanda_total_est
2026-08-11,8.8,10.2,7.5,91.4,26.7,32.5,5.6,3.9,7.1,167.2
2026-08-12,9.9,11.7,8.1,86.8,27.8,32.8,5.6,3.8,7.1,163.9
2026-08-13,8.1,10.0,6.1,82.9,25.4,32.4,5.7,3.9,7.1,157.4
2026-08-14,11.9,14.1,9.8,73.9,29.4,33.0,5.9,3.8,7.1,153.1
2026-08-15,12.9,14.3,11.6,61.3,28.2,32.4,5.6,3.8,7.1,138.4
2026-08-16,14.7,17.1,12.2,61.5,28.4,32.6,4.9,3.8,7.1,138.3
2026-08-17,12.4,15.8,9.1,69.3,30.7,33.3,5.5,3.8,7.1,149.7
2026-08-18,10.4,13.4,7.5,73.4,28.6,32.8,5.6,3.8,7.1,151.3
2026-08-19,14.6,17.0,12.2,66.9,33.4,33.7,5.5,3.7,7.1,150.3
2026-08-20,13.2,15.9,10.5,53.9,31.5,33.4,5.6,3.8,7.1,135.3
2026-08-21,12.4,14.3,10.4,51.9,30.0,33.1,5.9,3.8,7.1,131.8
2026-08-22,12.8,15.2,10.5,43.7,28.1,32.4,5.6,3.8,7.1,120.7
2026-08-23,13.8,15.6,12.1,34.4,27.3,32.4,4.9,3.8,7.1,109.9
2026-08-24,13.6,14.6,12.5,44.5,32.2,33.5,5.5,3.8,7.1,126.6
