fecha,naturgy_ban,centro,cuyana,gasnea,litoral,metrogas,gasnor,pampeana,sur
2021-07-01,451943,229611,271310,36819,378602,621103,230175,608270,584125
2021-08-01,428061,203455,247718,32541,337784,669976,226554,578708,562305
2021-09-01,348647,162015,218555,24562,295768,506582,162929,504051,429284
2021-10-01,296669,173901,199046,21693,259932,458993,194817,442424,368999
2021-11-01,256901,163475,194289,18121,242193,439554,205031,430165,276351
2021-12-01,235763,167457,193857,16830,234249,494120,231701,409818,226013
2022-01-01,217286,166830,192295,16557,226959,509880,243650,389800,218710
2022-02-01,215845,138639,160902,17231,217554,451132,169365,333298,193479
2022-03-01,259090,174865,175285,20238,253217,457855,170618,362737,297455
2022-04-01,277113,154505,178279,21296,268455,447503,161372,407589,370059
2022-05-01,400901,217152,234922,29166,342707,531576,176944,516889,505605
2022-06-01,469669,251931,272289,34672,401085,523022,210698,617404,605798
2022-07-01,442835,244406,278627,36015,360465,620535,206246,635886,633656
2022-08-01,420459,228930,256946,33619,316102,559776,173959,603007,572542
2022-09-01,337514,191719,209169,27905,272792,525955,157576,507365,446616
2022-10-01,290711,159147,175919,21576,272763,465922,154148,498448,346097
2022-11-01,240176,131204,172117,18299,254019,455863,164760,424769,210306
2022-12-01,216746,133720,187043,17157,239416,485140,180910,411640,195492
2023-01-01,204538,131141,191079,16133,215944,411407,182969,429158,198247
2023-02-01,194758,125175,164284,17275,199558,357366,162495,398667,209111
2023-03-01,222784,134630,192852,20227,227450,496196,173932,420553,252217
2023-04-01,252479,140976,173644,19713,256374,423568,142597,452099,336478
2023-05-01,319209,171761,205828,25720,304241,464875,166944,501235,454606
2023-06-01,386596,223274,257596,29578,337805,485370,209727,594189,574374
2023-07-01,410242,237437,269675,34976,342201,517377,209885,653237,635728
2023-08-01,414385,204508,270298,31991,305464,554024,190579,606331,590322
2023-09-01,373459,179776,229459,27609,286616,541557,163574,541579,517045
2023-10-01,287488,150492,176487,22000,258002,425549,156942,430472,370838
2023-11-01,256767,140273,163867,20471,236629,470980,170720,401352,310417
2023-12-01,225872,133390,159454,16352,202979,438066,182808,379071,228157
2024-01-01,198940,117865,163228,15844,214585,510024,215945,401574,168404
2024-02-01,191702,115248,168292,15739,211433,474002,177195,381763,167707
2024-03-01,220369,122657,177220,18363,219689,480756,188040,369926,261268
2024-04-01,247097,137060,185970,21758,257815,451131,153590,432182,380806
2024-05-01,370103,218295,271638,35154,336131,459152,171707,546716,580893
2024-06-01,320924,209257,250908,31514,321601,518446,143727,528699,610134
2024-07-01,420651,266094,293242,38603,376715,608979,181078,666030,665108
2024-08-01,431376,238119,290113,34726,330729,594953,169182,603085,592767
2024-09-01,316823,158341,216419,24529,258036,531334,124970,454458,471741
2024-10-01,260204,143418,212400,49699,266766,439293,154626,398859,334525
2024-11-01,228569,133249,188518,17717,234752,483205,138871,344845,255801
2024-12-01,212577,130035,176439,46732,218747,448093,166961,385774,221653
2025-01-01,175832,123316,169036,16271,220960,519777,175654,404743,203407
2025-02-01,184956,116587,168619,16224,201236,513287,183644,380795,191626
2025-03-01,218727,129173,166982,17485,214533,477941,153744,324895,280476
2025-04-01,239526,145133,186865,20206,232331,390135,121014,406640,403598
2025-05-01,297600,159580,211345,23085,265561,480312,159308,421650,478074
2025-06-01,422056,244027,248867,35887,340759,585629,195620,569312,573128
2025-07-01,404044,250935,281161,36413,314894,605854,204558,592382,630065
2025-08-01,389706,228604,255813,31254,294009,613149,176135,545113,546380
2025-09-01,323137,173453,197059,23803,252235,477783,151119,434309,444435
2025-10-01,255323,140923,150445,18599,244371,391722,162564,309891,306054
2025-11-01,230034,126448,125035,17371,216185,395672,155543,279654,237825
2025-12-01,207805,119183,142812,15495,193254,506624,164986,265645,206003
2026-01-01,189762,111973,149107,15640,197539,493848,163592,279524,155320
2026-02-01,166646,107719,146141,15523,189336,445595,146327,264525,174972
2026-03-01,210152,126116,164056,20223,234074,478931,167813,260741,257993
2026-04-01,231125,148472,176197,18979,234924,429556,148608,332318,352494
2026-05-01,371002,204999,255324,26679,300674,534103,181819,464813,485089
2026-06-01,398259,233702,282412,35085,303966,518561,176807,520998,572227
