fecha,tgn_centro_oeste,tgn_norte,tgn_otros,tgs_neuba,tgs_san_martin,tgs_otros,distr_malargue,distr_sur,distr_otros,total
2011-07-01,764883,581793,239231,972775,1013008,343011,61,85385,0,4000147
2011-08-01,632548,560015,323605,1095611,1036944,373983,64,86759,0,4109529
2011-09-01,608786,538409,164013,1022035,1018019,281301,59,76572,0,3709194
2011-10-01,611972,555789,166561,979249,1058624,208364,60,64265,0,3644884
2011-11-01,552284,536116,254171,951968,978342,3746,55,53367,0,3330049
2011-12-01,597575,620518,188270,909741,1042623,5150,55,45031,0,3408963
2012-01-01,591818,616352,123294,913401,1034535,132356,51,39732,0,3451539
2012-02-01,529365,561243,160420,832612,935671,156407,45,48620,0,3224383
2012-03-01,576444,558479,157503,935068,1007235,91404,50,55105,0,3381288
2012-04-01,579289,526059,127107,901197,1019226,144286,56,66578,0,3363798
2012-05-01,570615,630928,231897,1001143,1053551,262232,50,104827,0,3855243
2012-06-01,528512,684725,270195,1048472,990915,309042,47,123414,0,3955322
2012-07-01,516100,705298,327870,1117552,1048910,403992,55,123688,0,4243465
2012-08-01,495335,762362,282533,1125560,1041513,278118,78,114142,0,4099641
2012-09-01,583743,718484,194549,939338,1046413,220901,56,93890,0,3797374
2012-10-01,563703,697251,116443,979069,1075483,99333,63,87222,0,3618567
2012-11-01,620307,689974,117201,811152,1025198,160465,52,66711,0,3491060
2012-12-01,633600,685416,106539,812594,1067297,97291,43,62431,0,3465211
2013-01-01,624628,637158,179700,795917,1028430,201203,68,46336,0,3513440
2013-02-01,411020,668489,228904,879921,930988,66829,47,46700,0,3232898
2013-03-01,542990,737219,116239,946669,936984,190252,60,66982,0,3537395
2013-04-01,591855,586245,190956,822215,949623,303707,45,74444,0,3519090
2013-05-01,548781,702153,265276,931420,1008280,396392,61,118605,0,3970968
2013-06-01,540274,714294,273204,890046,983307,378871,41,126415,0,3906452
2013-07-01,569567,731632,365395,941168,993334,477887,38,135151,0,4214172
2013-08-01,582889,722691,357833,907560,995651,450122,41,131331,0,4148118
2013-09-01,537696,693647,292697,923636,975460,292618,37,114363,0,3830154
2013-10-01,542588,742390,125706,942005,1009126,250711,50,93483,0,3706059
2013-11-01,585900,628504,141148,869264,976766,191819,44,78454,0,3471899
2013-12-01,631432,671679,197873,919674,1006524,95928,49,65937,0,3589096
2014-01-01,552130,765453,110413,999506,1013729,78889,51,70162,0,3590333
2014-02-01,617461,686915,80878,850254,913826,194446,34,67604,0,3411418
2014-03-01,682854,668086,159300,879460,1007494,299594,30,83543,0,3780361
2014-04-01,519666,672044,316784,934119,853059,295590,43,91728,0,3683033
2014-05-01,512000,722550,248583,1120684,979352,420132,30,126752,0,4130083
2014-06-01,515835,704331,315134,1062237,926470,467395,34,143180,0,4134616
2014-07-01,549945,706999,351489,1127616,968653,443314,22,141174,0,4289212
2014-08-01,549556,656271,380315,1123415,943014,431498,29,129462,0,4213560
2014-09-01,492156,649332,273590,1114020,932418,262434,19,111410,0,3835379
2014-10-01,577998,659633,213631,1139488,895782,181130,24,91159,0,3758845
