fecha,linepack_tgn_est,temp_prom,linepack_tgs_est,linepack_total_est
2026-09-04,134.86,,,
2026-09-05,133.69,,,
2026-09-06,132.75,6.2,229.48,
2026-09-07,132.0,8.6,229.29,362.96
2026-09-08,131.4,10.9,229.16,361.67
2026-09-09,130.92,13.2,229.07,360.77
2026-09-10,130.53,14.1,229.0,360.14
2026-09-11,130.22,12.8,228.96,359.7
2026-09-12,129.97,10.6,228.93,359.39
2026-09-13,129.77,9.2,228.91,359.17
2026-09-14,129.61,9.6,228.89,359.02
2026-09-15,129.49,11.8,228.88,358.91
2026-09-16,129.39,15.7,228.87,358.83
2026-09-17,129.31,16.1,228.86,358.78
2026-09-18,129.25,17.1,228.86,358.74
2026-09-19,129.2,14.8,228.86,358.72
