Fecha,Demanda DS,Prioritaria,Industria,Usinas,Exportaciones,,Sur,NBA I,NBA II,TGS,,Norte,Nqn,TGN,,GPM,BOLIVIA,ESCOBAR,ENARSA,,Tucumán Min,Tucumán Max,Tucumán Promedio,BA Min,BA Max,BA Promedio,Esquel Min,Esquel Max,Esquel Promedio,,Linepack TGS,Var. TGS,Lim Inf. TGS,Lim Sup. TGS,,Linepack TGN,Var. TGN,Lim Inf. TGN,Lim Sup. TGN,,Tramo Final TGS,,,Tramo Final TGN,,,,,,,,,,,,,,,,,,,Fecha,GAS,GASOIL,FUELOIL,CARBON
2026-07-08,157.8,85.6,26.5,30.3,6.0,,,,,98.7,,,,40.5,,,,,,,4.6,19.7,12.1,8.0,20.0,14.0,1.8,5.4,3.6,,231.46,3.7,215.0,235.0,,129.8,0.87,110.0,142.0,,,,,,,,,,,,,,,,,,,,,,,,2026-07-08,,,,
2026-07-09,151.6,73.8,27.0,33.9,7.4,,,,,97.5,,,,40.6,,,,,,,8.1,22.3,15.2,8.0,17.0,12.5,-3.1,2.8,-0.2,,229.92,-1.54,215.0,235.0,,133.01,3.21,110.0,142.0,,,,,,,,,,,,,,,,,,,,,,,,2026-07-09,,,,
2026-07-10,157.5,76.4,27.1,36.9,7.4,,,,,100.0,,,,38.0,,,,,,,6.7,20.8,13.8,10.0,13.0,11.5,-2.3,2.0,-0.1,,226.95,-2.97,215.0,235.0,,128.4,-4.61,110.0,142.0,,,,,,,,,,,,,,,,,,,,,,,,2026-07-10,,,,
2026-07-11,148.5,70.5,26.8,34.3,7.4,,,,,98.2,,,,39.8,,,,,,,11.2,21.7,16.4,7.0,15.0,11.0,-1.9,5.0,1.6,,223.11,-3.83,215.0,235.0,,124.76,-3.64,110.0,142.0,,,,,,,,,,,,,,,,,,,,,,,,2026-07-11,,,,
2026-07-12,147.5,72.8,26.7,31.4,7.4,,,,,100.0,,,,40.2,,,,,,,10.3,16.8,13.6,7.0,13.0,10.0,0.7,9.0,4.8,,,,215.0,235.0,,127.2,2.44,110.0,142.0,,,,,,,,,,,,,,,,,,,,,,,,2026-07-12,,,,
2026-07-13,183.5,84.5,31.5,34.6,6.6,,23.9,10.9,41.5,76.3,,4.1,37.7,41.8,,23.0,1.8,18.0,23.0,,8.9,20.0,14.4,4.0,14.0,7.7,3.5,8.9,6.2,,220.36,-3.75,215.0,235.0,,127.13,-0.07,110.0,142.0,,76.9,,,14.17,,,,,,,,,,,,,,,,,,,2026-07-13,,,,
2026-07-14,180.5,79.2,30.7,34.6,7.3,,23.9,10.3,41.9,76.1,,5.0,37.7,42.7,,23.1,2.7,17.6,23.1,,9.1,20.8,14.9,8.0,16.0,11.9,2.5,7.9,5.2,,219.64,-0.72,215.0,235.0,,126.03,-1.1,110.0,142.0,,82.95,,,14.55,,,,,,,,,,,,,,,,,,,2026-07-14,,,,
2026-07-15,168.1,69.7,30.4,33.9,7.6,,24.1,10.6,41.2,75.9,,5.0,38.1,43.1,,22.6,2.5,17.6,22.6,,11.2,22.9,17.0,11.0,17.0,14.9,2.6,8.8,5.7,,224.93,5.29,215.0,235.0,,129.28,3.25,110.0,142.0,,87.43,,,15.25,,,,,,,,,,,,,,,,,,,2026-07-15,,,,
2026-07-16,158.9,58.8,31.1,30.4,7.8,,23.7,11.2,41.0,75.9,,3.6,37.8,41.4,,21.5,1.1,15.0,21.5,,10.1,26.0,18.1,17.0,20.0,19.3,2.4,6.7,4.5,,232.31,9.67,215.0,235.0,,134.44,5.16,110.0,142.0,,91.74,,,17.07,,,,,,,,,,,,,,,,,,,2026-07-16,,,,
2026-07-17,136.7,,30.7,,7.5,,,,,92.6,,,,39.2,,,,,,,17.1,36.1,26.6,18.0,23.0,20.5,2.6,6.7,4.7,,235.4,3.09,215.0,235.0,,137.5,3.06,110.0,142.0,,,,,,,,,,,,,,,,,,,,,,,,2026-07-17,,,,
2026-07-18,138.5,,31.7,,7.0,,,,,91.0,,,,37.8,,,,,,,13.2,22.5,17.9,14.0,17.0,15.5,-1.9,5.2,1.7,,231.99,-3.41,215.0,235.0,,136.12,-1.38,110.0,142.0,,,,,,,,,,,,,,,,,,,,,,,,2026-07-18,,,,
