fecha,temp_prom,temp_max,temp_min,prioritaria_est,usinas_est,industria_est,gnc_est,combustible_est,exportaciones_est,demanda_total_est
2026-09-20,19.4,23.8,15.0,17.2,34.0,33.5,4.9,3.7,7.0,100.3
2026-09-21,13.6,16.7,10.5,44.4,32.2,33.5,5.5,3.7,7.0,126.3
2026-09-22,9.3,12.0,6.7,62.7,27.3,32.5,5.6,3.8,7.0,138.9
2026-09-23,11.4,15.4,7.5,45.3,29.6,33.0,5.6,3.8,7.0,124.3
2026-09-24,16.4,21.3,11.6,23.4,35.3,34.0,5.6,3.7,7.0,109.0
2026-09-25,18.5,22.2,14.8,23.4,37.4,34.3,5.8,3.7,7.0,111.6
2026-09-26,18.7,22.3,15.1,19.5,35.2,33.5,5.6,3.7,7.0,104.5
2026-09-27,19.9,22.7,17.1,17.2,34.6,33.6,4.9,3.7,7.0,101.0
2026-09-28,15.6,17.7,13.4,33.5,34.6,33.9,5.5,3.7,7.0,118.2
2026-09-29,11.2,13.1,9.3,57.3,29.6,32.9,5.6,3.8,7.0,136.2
2026-09-30,9.2,10.4,7.9,74.9,26.9,32.5,5.6,3.8,7.0,150.7
2026-10-01,8.5,10.3,6.7,86.6,25.8,32.3,5.7,3.9,7.0,161.3
2026-10-02,8.1,9.7,6.6,84.3,24.9,32.1,5.9,3.9,7.0,158.1
2026-10-03,9.5,11.8,7.2,69.0,24.1,31.6,5.6,3.8,7.0,141.1
