fecha,tipo,source,san_martin,neuba_1,neuba_2,gpfm,centro_oeste,norte,total,tgs,tgn
2024-10-27,R,ING_20241106.pdf,,,,,,,106.2,,
2024-10-28,R,ING_20241106.pdf,,,,,,,107.9,,
2024-10-29,R,ING_20241106.pdf,,,,,,,110.5,,
2024-10-30,R,ING_20241106.pdf,,,,,,,114.3,,
2024-10-31,R,ING_20241106.pdf,,,,,,,110.9,,
2024-11-01,R,ING_20241106.pdf,,26.3,10.4,35.4,26.1,,105.8,,
2024-11-02,R,ING_20241106.pdf,,,26.2,34.6,27.6,,105.6,,
2024-11-03,R,ING_20241111.pdf,,,24.9,36.4,26.0,,105.6,,
2024-11-04,R,ING_20241111.pdf,,,25.8,36.0,24.8,,105.8,,
2024-11-05,R,ING_20241111.pdf,,,25.5,36.4,25.1,,107.2,,
2024-11-06,R,ING_20241111.pdf,,25.0,10.3,37.2,21.9,,104.7,,
2024-11-07,R,ING_20241111.pdf,,22.4,12.0,30.4,24.4,,101.1,,
2024-11-08,R,ING_20241111.pdf,23.5,12.2,28.3,12.7,26.2,2.8,105.7,76.7,29.0
2024-11-09,R,ING_20241111.pdf,25.3,12.9,31.6,12.4,25.9,2.7,110.8,82.2,28.6
2024-11-10,R,ING_20241111.pdf,,,,,,,109.8,,
2024-11-11,R,ING_20241111.pdf,,,,,,,106.7,,
2024-11-12,P,ING_20241111.pdf,,,,,,,110.4,,
2024-11-13,P,ING_20241111.pdf,,,,,,,113.1,,
2024-11-14,R,ING_20241121.pdf,,,,,,,111.5,,
2024-11-15,R,ING_20241121.pdf,,,,,,,107.4,,
2024-11-16,R,ING_20241121.pdf,,,,,,,107.4,,
2024-11-17,R,ING_20241126.pdf,,,,,,,102.8,,
2024-11-18,R,ING_20241126.pdf,,,,,,,100.9,,
2024-11-19,R,ING_20241126.pdf,,,,,,,103.4,,
2024-11-20,R,ING_20241126.pdf,,,,,,,107.1,,
2024-11-21,R,ING_20241126.pdf,,,,,,,108.5,,
2024-11-22,R,ING_20241201.pdf,,,,,,,107.9,,
2024-11-23,R,ING_20241201.pdf,,,,,,,109.1,,
2024-11-24,R,ING_20241201.pdf,,,,,,,107.8,,
2024-11-25,R,ING_20241201.pdf,,,,,,,112.2,,
2024-11-26,R,ING_20241201.pdf,,,,,,,108.7,,
2024-11-27,R,ING_20241201.pdf,,,,,,,113.3,,
2024-11-28,R,ING_20241201.pdf,,,,,,,113.7,,
2024-11-29,R,ING_20241201.pdf,,,,,,,113.6,,
2024-11-30,R,ING_20241201.pdf,,,,,,,113.3,,
2024-12-01,R,ING_20241201.pdf,,27.0,31.7,13.8,23.8,,107.8,,
2024-12-02,R,ING_20241211.pdf,,26.6,30.9,12.0,26.4,,107.6,,
2024-12-03,R,ING_20241211.pdf,,26.2,32.3,11.1,28.3,,109.3,,
2024-12-04,R,ING_20241211.pdf,,,24.9,32.0,29.6,,102.6,,
2024-12-05,R,ING_20241211.pdf,,,24.4,33.1,32.2,,108.8,,
2024-12-06,R,ING_20241211.pdf,,,24.2,34.6,30.1,,106.2,,
2024-12-07,R,ING_20241211.pdf,,,25.3,34.2,29.8,,105.6,,
2024-12-08,R,ING_20241211.pdf,,,25.8,33.5,29.0,,101.7,,
2024-12-09,R,ING_20241211.pdf,,,24.3,33.1,28.5,,103.1,,
2024-12-10,R,ING_20241211.pdf,,,,,,,100.5,,
2024-12-11,R,ING_20241211.pdf,,,,,,,102.0,,
2024-12-12,P,ING_20241211.pdf,,,,,,,107.1,,
2024-12-13,P,ING_20241211.pdf,,,,,,,108.6,,
2024-12-14,P,ING_20241211.pdf,,,,,,,108.8,,
2024-12-15,P,ING_20241211.pdf,,,,,,,108.8,,
2024-12-19,R,ING_20241226.pdf,,,,,,,109.2,,
2024-12-20,R,ING_20241226.pdf,,,,,,,111.4,,
2024-12-21,R,ING_20241226.pdf,,,,,,,107.7,,
2024-12-22,R,ING_20241226.pdf,,,,,,,,,
2024-12-23,R,ING_20241226.pdf,,,,,,,101.5,,
2024-12-24,R,ING_20241226.pdf,,,,,,,,,
2024-12-25,R,ING_20241226.pdf,,,,,,,,,
2024-12-26,R,ING_20241226.pdf,,,,,,,,,
2024-12-27,R,ING_20250105.pdf,,,,,,,,,
2024-12-28,R,ING_20250105.pdf,,,,,,,,,
2024-12-29,R,ING_20250105.pdf,,,,,,,,,
2024-12-30,R,ING_20250105.pdf,,,,,,,,,
2024-12-31,R,ING_20250105.pdf,,,,,,,101.3,,
2025-01-01,R,ING_20250105.pdf,22.0,10.0,32.3,10.4,24.8,2.7,102.2,74.7,27.5
2025-01-02,R,ING_20250105.pdf,24.9,10.5,32.9,12.8,27.8,2.6,111.5,81.1,30.4
2025-01-03,R,ING_20250105.pdf,26.4,10.4,31.5,13.2,28.7,2.6,112.8,81.5,31.3
