fecha,buenos_aires,catamarca,cordoba,la_rioja,mendoza,san_juan,san_luis,chaco,corrientes,entre_rios,santa_fe,caba,jujuy,salta,santiago_del_estero,tucuman,la_pampa,chubut,neuquen,rio_negro,santa_cruz,tierra_del_fuego
2016-07-01,1403091.0,8471.0,259451.0,4428.0,202227.0,35551.0,42434.0,,,38948.0,296634.0,291949.0,24225.0,62397.0,16515.0,78144.0,51706.0,190577.0,118332.0,136600.0,73393.0,66605.0
2016-08-01,1282042.0,10338.0,219637.0,3612.0,170123.0,28431.0,31086.0,,,30907.0,287242.0,321575.0,19386.0,60333.0,13519.0,62750.0,41760.0,164656.0,98826.0,118868.0,69777.0,66729.0
2016-09-01,1176294.0,11003.0,213103.0,3199.0,157060.0,25550.0,26419.0,,,28300.0,242887.0,321575.0,23115.0,45825.0,10182.0,51145.0,33011.0,138204.0,77832.0,94202.0,57359.0,56876.0
2016-10-01,1050067.0,10632.0,181692.0,2877.0,124794.0,23427.0,22009.0,,,20847.0,250770.0,288394.0,23822.0,51025.0,16536.0,52387.0,25576.0,111916.0,66012.0,76040.0,44916.0,51652.0
2016-11-01,845527.0,10064.0,163329.0,2715.0,104365.0,20206.0,17485.0,,,17229.0,220709.0,257401.0,24487.0,59774.0,12603.0,51197.0,9930.0,105426.0,39906.0,40214.0,35109.0,47121.0
2016-12-01,783822.0,10113.0,166177.0,2499.0,119257.0,20528.0,16634.0,,,16088.0,197498.0,268282.0,30226.0,67233.0,16938.0,72404.0,7151.0,112723.0,33973.0,31337.0,27708.0,40725.0
2017-01-01,802187.0,7613.0,169409.0,4125.0,135163.0,20389.0,14814.0,,,15374.0,201027.0,318494.0,26495.0,79994.0,15407.0,63131.0,6803.0,78848.0,38918.0,28769.0,26191.0,39839.0
2017-02-01,719321.0,10520.0,146711.0,2662.0,123833.0,19987.0,14237.0,,,14798.0,170143.0,301891.0,26556.0,78053.0,14573.0,59171.0,6670.0,67849.0,29748.0,27893.0,22794.0,37194.0
2017-03-01,869609.0,11465.0,167592.0,2880.0,138466.0,23256.0,17463.0,,,20477.0,217240.0,325311.0,24055.0,94870.0,15435.0,61056.0,8794.0,88955.0,43787.0,39223.0,34742.0,51001.0
2017-04-01,883560.0,11458.0,178452.0,2678.0,156818.0,24007.0,21100.0,,,19223.0,241714.0,346556.0,20606.0,67649.0,12270.0,52300.0,22850.0,115696.0,72298.0,73475.0,50868.0,53044.0
2017-05-01,1074551.0,11682.0,222768.0,3487.0,172193.0,27808.0,28947.0,,,24276.0,288185.0,445244.0,22930.0,54987.0,17270.0,74824.0,39680.0,146617.0,99597.0,107289.0,60643.0,61871.0
2017-06-01,1230426.0,6515.0,239734.0,3903.0,190668.0,32455.0,36803.0,,,33144.0,292406.0,327510.0,21193.0,81570.0,17262.0,75035.0,51717.0,179813.0,105794.0,129839.0,68791.0,68022.0
2017-07-01,1329741.0,5001.0,243769.0,6913.0,198557.0,35994.0,38227.0,,1.0,33145.0,278798.0,352223.0,25864.0,91434.0,19824.0,85690.0,51804.0,180898.0,112042.0,134886.0,70693.0,65560.0
2017-08-01,1316222.0,9770.0,238086.0,4419.0,186389.0,32215.0,33613.0,,0.0,29728.0,255461.0,389524.0,24008.0,69871.0,17678.0,71523.0,47184.0,162894.0,103779.0,125832.0,66189.0,64543.0
2017-09-01,1202025.0,12532.0,220384.0,3842.0,160704.0,27232.0,27629.0,,0.0,23622.0,244602.0,323675.0,20961.0,56217.0,15086.0,55696.0,35720.0,119431.0,77905.0,92153.0,57993.0,61241.0
2017-10-01,1064358.0,12259.0,185816.0,3501.0,137490.0,24178.0,20820.0,,15.0,21279.0,239902.0,326439.0,27296.0,48514.0,14671.0,47255.0,22975.0,121455.0,58500.0,71785.0,50236.0,57928.0
2017-11-01,940393.0,11671.0,163100.0,4445.0,115151.0,22744.0,17360.0,,18.0,17795.0,212349.0,286716.0,31285.0,48576.0,14375.0,48892.0,11648.0,116531.0,35739.0,48664.0,37873.0,50400.0
2017-12-01,890191.0,12059.0,183996.0,3642.0,126087.0,23178.0,15749.0,,30.0,15758.0,184314.0,357146.0,36973.0,68647.0,13422.0,53663.0,7854.0,70528.0,23221.0,32037.0,28680.0,47781.0
2018-01-01,892302.5,10990.0,173388.0,2779.0,131381.0,23276.0,14975.0,,76.0,15865.0,201292.0,381751.0,37337.4,92206.3,14214.9,63212.6,7288.0,60203.0,20205.0,24007.0,22373.0,43128.0
2018-02-01,885548.3,8500.0,161077.0,2449.0,126519.0,23259.0,15511.0,,60.0,15116.0,167514.0,311316.0,30660.1,82988.8,12684.3,59717.4,6907.0,72834.0,18154.0,26366.0,20049.0,38065.0
2018-03-01,1009087.7,12147.0,186387.0,2767.0,131967.0,24960.0,17379.0,,42.0,18679.0,199382.0,307803.0,32662.0,83916.3,14881.1,69521.9,9621.0,103623.0,33756.0,42547.0,35726.0,43907.0
