fecha,linepack_tgn_est,linepack_total_est,temp_prom,linepack_tgs_est
2026-09-04,134.86,,,
2026-09-05,133.69,,,
2026-09-06,132.75,,,
2026-09-07,132.0,362.96,8.1,224.52
2026-09-08,131.4,361.67,10.9,225.68
2026-09-09,130.92,360.77,12.8,226.5
2026-09-10,130.53,360.14,13.4,227.07
2026-09-11,130.22,359.7,13.1,227.47
2026-09-12,129.97,359.39,10.2,227.75
2026-09-13,129.77,359.17,7.4,227.95
2026-09-14,129.61,359.02,9.6,228.09
2026-09-15,129.49,358.91,12.4,228.18
2026-09-16,129.39,358.83,10.0,228.25
2026-09-17,129.31,358.78,15.8,228.3
2026-09-18,129.25,358.74,17.1,228.33
2026-09-19,129.2,358.72,16.8,228.35
2026-09-20,129.16,358.7,13.2,228.37
